modnr, pixrad, nmod, tot_t, mod_t, burn_t
000679, 8, 200, 8.83, 2.47, 5.33
003477, 8, 200, 9.36, 3.09, 5.22
001580, 8, 200, 2.74, 1.36, 1.08
000945, 8, 200, 7.02, 1.82, 4.36
000974, 8, 200, 2.82, 1.44, 1.04
000174, 8, 900, 10.63, 9.11, 1.13
002011, 8, 200, 3.43, 1.91, 1.15
003267, 5, 200, 0.99, 0.70, 0.22
000097, 5, 200, 2.82, 1.23, 1.30
001624, 8, 200, 3.07, 1.67, 1.04
001858, 8, 200, 3.19, 1.63, 1.18
000562, 8, 200, 3.20, 1.64, 1.16
002650, 8, 200, 3.13, 1.58, 1.15
001786, 12, 200, 17.06, 5.46, 9.23
000345, 8, 200, 9.07, 2.70, 5.40
000265, 6, 200, 1.68, 1.08, 0.43
001201, 8, 200, 3.26, 1.86, 1.06
000114, 6, 200, 7.83, 2.35, 4.66
002876, 6, 200, 1.49, 0.94, 0.40
001821, 10, 200, 5.65, 2.30, 2.60
001010, 8, 200, 3.10, 1.88, 0.89
000430, 8, 200, 3.11, 1.58, 1.16
002246, 8, 200, 3.73, 2.17, 1.12
002178, 8, 200, 8.90, 2.52, 5.38
003472, 8, 200, 3.25, 1.90, 1.01
002432, 12, 200, 16.18, 5.32, 8.80
001849, 11, 200, 8.93, 3.02, 4.76
002448, 8, 200, 9.69, 3.34, 5.33
002075, 12, 200, 88.93, 17.10, 62.88
001024, 8, 200, 3.14, 1.91, 0.90
000949, 8, 200, 3.12, 1.75, 1.05
003223, 5, 200, 1.79, 1.02, 0.62
001283, 8, 200, 2.70, 1.34, 1.06
000277, 8, 200, 3.15, 1.58, 1.17
001701, 8, 200, 6.26, 1.57, 3.90
001531, 8, 200, 9.13, 2.65, 5.52
001099, 8, 200, 2.73, 1.39, 1.04
001831, 10, 200, 31.44, 6.25, 21.78
001329, 8, 200, 2.72, 1.37, 1.03
003349, 8, 200, 10.26, 3.15, 6.08
000145, 8, 1000, 18.79, 12.94, 4.97
002326, 12, 200, 13.83, 4.57, 7.73
000687, 8, 200, 3.08, 1.55, 1.16
001785, 8, 200, 3.08, 1.86, 0.88
000868, 8, 200, 2.74, 1.39, 1.05
002249, 12, 200, 16.29, 5.29, 8.91
001433, 8, 200, 2.63, 1.42, 0.91
001183, 8, 200, 3.25, 1.89, 1.02
002735, 8, 200, 9.35, 3.06, 5.27
003131, 8, 0, 0, 0, 0
001455, 5, 200, 1.86, 1.01, 0.70
000486, 5, 200, 1.37, 0.49, 0.69
002955, 8, 0, 0, 0, 0
001033, 8, 200, 3.19, 1.81, 1.04
001709, 7, 300, 4.15, 1.61, 2.02
003379, 8, 200, 9.47, 3.58, 4.84
001284, 8, 200, 3.63, 2.27, 1.05
003576, 12, 200, 15.59, 5.30, 8.53
