modnr, pixrad, nmod, tot_t, mod_t, burn_t
003070, 8, 200, 3.72, 2.20, 1.12
001541, 8, 200, 3.11, 1.89, 0.89
003143, 8, 0, 0, 0, 0
003346, 8, 200, 9.60, 3.10, 5.49
003353, 8, 200, 3.23, 1.88, 1.03
001209, 8, 200, 3.20, 1.84, 1.05
002015, 8, 200, 9.27, 2.46, 5.78
003544, 8, 200, 3.24, 1.88, 1.02
000062, 5, 200, 1.58, 0.82, 0.60
003031, 12, 200, 122.75, 17.41, 92.53
002212, 8, 200, 2.71, 1.47, 0.92
002342, 8, 200, 3.11, 1.57, 1.15
001121, 8, 200, 2.81, 1.45, 1.04
002063, 11, 200, 54.45, 9.06, 39.77
000662, 8, 200, 3.21, 1.61, 1.17
002386, 8, 200, 3.13, 1.90, 0.89
001983, 8, 200, 3.12, 1.92, 0.88
000720, 8, 200, 3.10, 1.86, 0.89
000064, 5, 0, 0, 0, 0
003275, 8, 200, 3.77, 2.24, 1.12
001559, 8, 200, 10.26, 3.11, 6.13
001184, 8, 200, 3.25, 1.89, 1.03
000721, 8, 200, 3.21, 1.86, 1.03
001214, 8, 200, 3.21, 1.81, 1.08
000936, 8, 200, 3.09, 1.86, 0.89
001132, 8, 200, 2.93, 1.58, 1.05
001393, 5, 200, 1.98, 0.68, 1.03
001523, 8, 200, 8.65, 2.52, 5.12
001593, 8, 200, 2.62, 1.38, 0.91
003582, 5, 200, 2.39, 1.64, 0.61
000595, 8, 200, 2.68, 1.45, 0.92
001693, 12, 200, 11.78, 3.66, 6.56
000750, 8, 200, 2.60, 1.37, 0.92
002815, 11, 200, 10.54, 3.32, 5.75
003211, 8, 200, 10.05, 3.24, 5.65
000370, 8, 0, 0, 0, 0
002584, 12, 200, 14.06, 4.55, 7.72
000876, 8, 0, 0, 0, 0
001488, 8, 200, 2.75, 1.36, 1.07
002193, 8, 0, 0, 0, 0
001175, 8, 200, 3.19, 1.86, 1.01
000461, 8, 1050, 19.64, 13.53, 5.06
000349, 8, 200, 8.61, 2.44, 5.15
000294, 8, 200, 8.81, 2.39, 5.43
001233, 8, 200, 2.73, 1.40, 1.03
000755, 8, 200, 2.57, 1.35, 0.92
003241, 8, 200, 3.68, 2.16, 1.12
003075, 11, 200, 55.06, 10.30, 38.81
002570, 12, 200, 16.24, 5.18, 8.89
002367, 8, 200, 10.05, 3.61, 5.41
003328, 12, 200, 168.11, 22.68, 127.62
001634, 8, 200, 3.71, 2.16, 1.15
002142, 9, 200, 3.96, 1.76, 1.68
000506, 8, 200, 2.81, 1.41, 1.05
003365, 8, 200, 3.25, 1.91, 1.01
000707, 8, 200, 3.14, 1.60, 1.15
001193, 8, 200, 3.24, 1.88, 1.03
001897, 12, 200, 12.94, 4.45, 6.90
000776, 8, 200, 3.18, 1.83, 1.02
001412, 8, 200, 3.23, 1.88, 1.04
002191, 8, 200, 2.63, 1.38, 0.91
000825, 5, 200, 1.41, 0.62, 0.62
003558, 8, 200, 3.70, 2.15, 1.13
000222, 8, 200, 2.81, 1.47, 1.04
001535, 8, 200, 9.68, 3.23, 5.46
000090, 5, 0, 0, 0, 0
001454, 5, 200, 1.18, 0.84, 0.24
000817, 8, 200, 3.26, 1.89, 1.03
003562, 8, 200, 9.70, 2.98, 5.56
000751, 8, 200, 2.73, 1.37, 1.07
000950, 8, 200, 2.72, 1.37, 1.04
000470, 8, 200, 3.13, 1.58, 1.15
001868, 11, 200, 9.03, 2.99, 4.98
003206, 8, 200, 3.69, 2.15, 1.12
003548, 8, 200, 3.09, 1.57, 1.15
000333, 7, 400, 16.47, 2.72, 12.04
000832, 8, 200, 3.17, 1.83, 1.02
001888, 8, 200, 3.42, 2.08, 1.00
002002, 8, 200, 3.74, 2.21, 1.13
003505, 8, 200, 3.22, 1.86, 1.03
000525, 8, 200, 2.63, 1.41, 0.91
001738, 12, 200, 16.44, 5.45, 8.77
003030, 8, 200, 3.80, 2.25, 1.12
003578, 8, 200, 3.30, 1.95, 1.01
001820, 9, 200, 15.27, 2.83, 11.09
000836, 8, 200, 2.95, 1.61, 1.02
002258, 12, 200, 16.01, 5.29, 8.82
000633, 8, 0, 0, 0, 0
002763, 8, 200, 10.18, 3.23, 5.94
001126, 8, 200, 2.71, 1.37, 1.03
001774, 12, 200, 15.13, 4.35, 8.80
002324, 11, 200, 10.68, 3.34, 5.91
001800, 8, 200, 2.74, 1.39, 1.05
001639, 8, 200, 33.84, 4.64, 25.66
000578, 5, 200, 1.22, 0.40, 0.63
002705, 8, 200, 9.23, 3.09, 5.12
002498, 12, 200, 16.16, 5.22, 8.92
000150, 8, 1000, 18.91, 13.07, 4.87
001240, 8, 200, 2.88, 1.51, 1.06
000142, 8, 1000, 18.85, 13.00, 4.95
000227, 8, 200, 9.40, 3.08, 5.19
002262, 8, 200, 8.80, 2.34, 5.38
003160, 12, 200, 13.42, 4.52, 7.31
002401, 12, 200, 13.45, 4.51, 7.41
000095, 5, 200, 1.57, 0.80, 0.61
000322, 8, 200, 3.68, 2.16, 1.12
002440, 12, 200, 12.35, 4.24, 6.44
002464, 8, 200, 3.21, 1.99, 0.89
002702, 8, 200, 4.24, 2.72, 1.11
001898, 12, 200, 16.62, 5.34, 9.24
001293, 8, 200, 4.19, 2.87, 0.97
002033, 8, 200, 8.68, 2.36, 5.24
001848, 11, 200, 9.03, 2.96, 5.07
001387, 5, 200, 2.03, 0.63, 1.13
001064, 8, 200, 3.18, 1.85, 1.00
003214, 12, 200, 17.04, 6.16, 8.56
002618, 12, 200, 16.31, 5.32, 8.92
000565, 8, 200, 2.61, 1.37, 0.92
000078, 5, 200, 1.37, 0.46, 0.72
001648, 7, 300, 3.88, 1.06, 2.30
002435, 8, 200, 3.12, 1.58, 1.16
001279, 8, 200, 2.85, 1.42, 1.08
002959, 8, 200, 10.04, 3.49, 5.45
001276, 8, 200, 2.78, 1.37, 1.02
002548, 12, 200, 12.97, 4.44, 6.96
001837, 12, 200, 14.21, 4.61, 7.77
003585, 5, 200, 2.39, 1.65, 0.59
000928, 8, 200, 2.72, 1.40, 1.03
001654, 7, 300, 5.13, 1.90, 2.62
000022, 5, 200, 1.78, 1.17, 0.49
001520, 5, 200, 1.07, 0.76, 0.23
001926, 12, 200, 16.54, 5.29, 9.32
002911, 9, 200, 19.95, 5.57, 12.29
001262, 8, 200, 3.18, 1.81, 1.04
001421, 8, 200, 3.10, 1.88, 0.89
003495, 8, 200, 10.17, 3.20, 5.95
003409, 12, 200, 84.20, 13.48, 62.04
003597, 8, 200, 8.80, 2.39, 5.34
002093, 8, 200, 9.60, 3.22, 5.36
000596, 8, 200, 2.70, 1.36, 1.03
002634, 12, 200, 16.45, 5.20, 9.15
002087, 8, 200, 12.25, 3.15, 7.67
001443, 8, 200, 9.47, 3.15, 5.32
000362, 8, 200, 3.16, 1.61, 1.14
002273, 12, 200, 16.47, 5.29, 9.24
002221, 8, 200, 3.10, 1.89, 0.88
003531, 12, 200, 98.87, 16.89, 70.52
003524, 12, 200, 15.02, 4.33, 8.81
002428, 8, 200, 2.60, 1.39, 0.91
003257, 8, 200, 7.85, 1.93, 4.94
000206, 8, 200, 2.73, 1.38, 1.05
001414, 8, 200, 3.69, 2.15, 1.13
002100, 12, 200, 13.00, 4.39, 6.82
001335, 8, 200, 3.30, 1.95, 1.04
002932, 10, 200, 6.54, 2.78, 2.86
002767, 8, 0, 0, 0, 0
001655, 7, 300, 20.12, 5.81, 12.49
002292, 11, 200, 57.68, 12.61, 39.27
001552, 8, 200, 3.17, 1.85, 1.00
000626, 8, 200, 3.46, 2.12, 1.03
001471, 8, 200, 10.09, 3.40, 5.67
000033, 8, 200, 3.72, 2.16, 1.17
001832, 10, 200, 6.11, 2.52, 2.87
003094, 10, 0, 0, 0, 0
000389, 8, 1900, 23.65, 17.40, 5.25
001803, 10, 200, 40.73, 6.56, 29.80
002488, 12, 200, 13.75, 5.13, 6.79
000884, 8, 200, 2.73, 1.38, 1.05
001669, 7, 300, 4.17, 1.65, 2.03
001382, 8, 200, 8.41, 2.33, 5.12
003120, 12, 200, 13.02, 3.76, 7.76
000233, 8, 200, 3.15, 1.60, 1.17
002555, 11, 200, 46.47, 7.68, 33.76
001096, 5, 200, 1.22, 0.41, 0.65
001914, 12, 200, 15.95, 5.11, 8.62
002183, 8, 0, 0, 0, 0
001022, 8, 200, 2.64, 1.40, 0.92
001325, 8, 200, 2.69, 1.37, 1.03
000749, 8, 200, 8.92, 2.56, 5.33
001167, 8, 200, 3.18, 1.81, 1.05
003230, 8, 200, 38.06, 5.91, 27.82
000735, 5, 200, 1.46, 0.78, 0.53
002968, 8, 200, 3.23, 1.88, 1.01
000905, 5, 200, 1.40, 0.61, 0.63
002870, 6, 200, 2.39, 0.63, 1.42
000139, 8, 1000, 18.97, 13.07, 5.02
003367, 8, 200, 9.80, 3.20, 5.40
000434, 8, 200, 3.19, 1.64, 1.17
002474, 8, 200, 3.67, 2.14, 1.13
003573, 11, 200, 10.20, 3.35, 5.51
001825, 8, 200, 2.69, 1.43, 0.93
000014, 5, 200, 1.87, 0.95, 0.71
003377, 8, 200, 3.19, 1.83, 1.02
002820, 12, 200, 93.78, 16.17, 67.38
000678, 8, 200, 2.76, 1.38, 1.05
000050, 5, 200, 1.21, 0.43, 0.63
001912, 12, 200, 14.09, 4.56, 7.82
003415, 12, 200, 89.09, 16.26, 63.75
001896, 11, 200, 9.08, 2.98, 5.00
001653, 7, 300, 4.19, 1.70, 2.00
001002, 8, 200, 3.18, 1.80, 1.06
002004, 10, 200, 5.62, 2.26, 2.61
000859, 5, 200, 1.29, 0.60, 0.53
000570, 8, 200, 2.60, 1.36, 0.91
001754, 11, 200, 11.06, 3.53, 6.02
001475, 10, 200, 33.60, 8.47, 21.81
001529, 8, 200, 2.59, 1.37, 0.92
001323, 8, 200, 2.68, 1.34, 1.05
002496, 12, 200, 89.38, 15.77, 64.25
001060, 8, 0, 0, 0, 0
001330, 5, 200, 1.43, 0.63, 0.65
001812, 11, 200, 9.12, 2.96, 5.01
002402, 12, 200, 15.99, 5.16, 8.93
001388, 8, 200, 8.73, 2.46, 5.26
000838, 8, 200, 3.13, 1.59, 1.15
000765, 8, 200, 3.12, 1.89, 0.89
001089, 8, 200, 2.74, 1.37, 1.06
000701, 8, 200, 2.87, 1.50, 1.04
000465, 8, 200, 8.74, 2.42, 5.35
003290, 12, 200, 71.53, 11.20, 53.15
000301, 8, 200, 3.18, 1.60, 1.17
000805, 8, 200, 2.63, 1.40, 0.93
001651, 7, 300, 16.46, 2.45, 12.15
001615, 8, 200, 8.88, 2.45, 5.32
002133, 8, 200, 2.64, 1.40, 0.92
003361, 8, 200, 9.39, 3.30, 5.07
003302, 12, 200, 246.34, 36.49, 190.83
003281, 8, 200, 7.89, 1.94, 4.95
002523, 8, 200, 11.14, 3.25, 6.72
000772, 8, 200, 8.77, 2.48, 5.26
002730, 8, 200, 3.12, 1.58, 1.18
002349, 8, 200, 9.81, 2.56, 6.21
000690, 8, 200, 2.63, 1.41, 0.91
001980, 8, 200, 3.08, 1.87, 0.88
002598, 12, 200, 89.02, 15.15, 65.10
000043, 5, 200, 3.24, 1.65, 1.32
000501, 8, 200, 2.71, 1.36, 1.05
001429, 8, 200, 2.69, 1.47, 0.91
000590, 8, 200, 2.64, 1.40, 0.92
001304, 8, 200, 3.85, 2.51, 0.99
001781, 6, 200, 1.41, 0.93, 0.35
001860, 8, 200, 3.13, 1.72, 1.08
000442, 8, 200, 3.11, 1.59, 1.15
000325, 8, 200, 32.43, 3.89, 25.39
001320, 8, 200, 3.29, 1.93, 1.03
001362, 8, 200, 2.72, 1.33, 1.07
001819, 8, 200, 8.65, 2.30, 5.38
002106, 8, 200, 2.63, 1.40, 0.92
000746, 8, 200, 2.88, 1.50, 1.08
000224, 8, 200, 2.77, 1.45, 0.99
001519, 5, 200, 1.92, 1.10, 0.69
001470, 8, 200, 3.15, 1.59, 1.17
002753, 8, 200, 3.72, 2.18, 1.13
002008, 8, 200, 3.08, 1.56, 1.16
002040, 10, 200, 6.10, 2.72, 2.57
002688, 8, 200, 3.72, 2.19, 1.14
001059, 8, 200, 3.19, 1.83, 1.05
000976, 8, 200, 2.69, 1.35, 1.03
000927, 8, 200, 2.72, 1.49, 0.91
001135, 8, 200, 3.09, 1.74, 1.04
001626, 10, 200, 7.56, 3.28, 3.34
001946, 9, 200, 20.31, 5.88, 12.24
002658, 11, 200, 10.42, 3.38, 5.62
003210, 8, 200, 3.67, 2.16, 1.12
000659, 8, 200, 9.70, 3.25, 5.44
002550, 11, 200, 69.00, 10.15, 50.17
003285, 8, 200, 7.14, 1.64, 4.66
001495, 10, 200, 33.47, 8.19, 22.04
003156, 12, 200, 12.72, 3.73, 7.28
000004, 5, 200, 3.16, 1.59, 1.27
002745, 8, 200, 3.71, 2.18, 1.14
003263, 5, 200, 1.17, 0.83, 0.23
003533, 8, 200, 3.68, 2.16, 1.14
000625, 8, 200, 2.59, 1.36, 0.92
001277, 8, 200, 3.00, 1.61, 1.08
001663, 7, 300, 18.74, 3.67, 12.92
002920, 8, 200, 3.25, 1.89, 1.03
000500, 8, 200, 2.61, 1.38, 0.92
002676, 8, 200, 3.74, 2.18, 1.14
001247, 8, 200, 2.79, 1.34, 1.09
000753, 8, 200, 2.73, 1.38, 1.04
002203, 8, 200, 3.11, 1.88, 0.87
001962, 11, 200, 7.98, 2.76, 4.15
002805, 8, 200, 2.74, 1.41, 1.03
002766, 8, 200, 11.17, 3.53, 5.60
000289, 7, 200, 2.81, 1.86, 0.67
001762, 8, 200, 3.12, 1.56, 1.18
003199, 10, 200, 33.34, 7.90, 21.91
003337, 11, 200, 60.62, 13.01, 42.11
003063, 8, 200, 10.01, 3.17, 5.78
000034, 5, 200, 2.36, 0.87, 1.22
003052, 8, 200, 3.19, 1.82, 1.02
003391, 12, 200, 83.19, 13.23, 61.11
000109, 8, 200, 12.09, 5.33, 5.79
000844, 8, 200, 3.23, 1.90, 1.01
001431, 8, 200, 9.65, 3.16, 5.42
001572, 8, 200, 2.81, 1.45, 1.05
002613, 12, 200, 95.09, 14.99, 66.28
003118, 12, 200, 15.30, 4.46, 9.01
002329, 12, 200, 13.87, 4.56, 7.70
002300, 10, 200, 7.06, 2.64, 3.37
003102, 12, 200, 16.27, 5.32, 8.87
001018, 5, 200, 1.32, 0.60, 0.54
000960, 8, 200, 3.09, 1.88, 0.89
000686, 8, 200, 3.15, 1.83, 1.01
001331, 5, 200, 1.21, 0.43, 0.63
002593, 12, 200, 13.87, 4.62, 7.66
001485, 8, 200, 3.06, 1.85, 0.89
001094, 8, 200, 7.14, 2.12, 4.11
002866, 6, 200, 2.39, 0.62, 1.42
000563, 8, 200, 2.75, 1.40, 1.04
003516, 8, 200, 10.21, 3.08, 6.13
000036, 5, 200, 1.83, 0.92, 0.72
002506, 12, 200, 12.19, 4.31, 6.46
002799, 8, 200, 4.01, 2.49, 1.11
003166, 8, 200, 3.96, 2.44, 1.11
002123, 11, 200, 55.67, 9.97, 39.97
002431, 8, 200, 2.65, 1.42, 0.90
001551, 8, 200, 9.48, 2.57, 5.93
002559, 10, 200, 158.46, 15.83, 127.45
002683, 8, 200, 9.84, 3.21, 5.56
001840, 12, 200, 14.44, 4.67, 7.89
002016, 8, 200, 2.59, 1.37, 0.91
003123, 8, 200, 10.43, 3.15, 6.08
001600, 8, 200, 3.21, 1.83, 1.00
000896, 8, 200, 3.17, 1.82, 1.01
000593, 8, 200, 3.20, 1.84, 1.02
000106, 7, 200, 17.28, 4.00, 11.58
001045, 8, 200, 2.85, 1.50, 1.03
002398, 12, 200, 13.76, 4.58, 7.69
002825, 12, 200, 13.15, 4.53, 7.14
003277, 8, 200, 9.45, 3.07, 5.38
002389, 8, 200, 2.63, 1.40, 0.92
002332, 12, 200, 13.99, 4.64, 7.73
002914, 9, 200, 5.54, 2.75, 2.12
001695, 7, 300, 18.50, 3.81, 12.69
000042, 5, 200, 1.82, 0.92, 0.70
001665, 7, 300, 4.17, 1.66, 2.00
000851, 5, 200, 1.12, 0.41, 0.55
000794, 8, 200, 3.13, 1.60, 1.14
000280, 8, 200, 3.18, 1.61, 1.17
002339, 8, 200, 3.67, 2.16, 1.12
000736, 5, 200, 1.78, 0.99, 0.62
001198, 8, 200, 2.99, 1.60, 1.08
002333, 8, 200, 3.79, 2.25, 1.14
003116, 11, 200, 9.51, 3.53, 4.63
000291, 7, 200, 3.74, 1.55, 1.75
002551, 11, 200, 8.94, 2.98, 4.77
002462, 8, 200, 3.77, 2.23, 1.14
000303, 8, 200, 9.44, 3.04, 5.42
003370, 8, 200, 9.63, 3.07, 5.56
002813, 11, 200, 9.07, 2.81, 5.03
002150, 8, 200, 9.45, 3.07, 5.33
002445, 8, 200, 9.09, 3.02, 5.04
001941, 10, 0, 0, 0, 0
002318, 12, 200, 16.47, 5.29, 9.10
001251, 8, 200, 3.21, 1.85, 1.02
000366, 8, 200, 3.17, 1.61, 1.15
000513, 8, 200, 2.80, 1.41, 1.03
001844, 8, 200, 2.95, 1.59, 1.05
002069, 12, 200, 86.08, 13.19, 64.18
003419, 12, 200, 14.03, 4.53, 7.68
002854, 8, 200, 3.92, 2.29, 1.14
000220, 8, 200, 2.76, 1.48, 0.96
000658, 8, 200, 3.24, 1.89, 1.02
002231, 12, 200, 16.03, 5.19, 8.94
001321, 8, 200, 2.86, 1.47, 1.06
000545, 8, 200, 5.53, 1.08, 3.75
001116, 8, 200, 3.35, 1.87, 1.04
001380, 8, 200, 8.93, 2.68, 5.34
001574, 8, 200, 3.19, 1.63, 1.17
000732, 5, 200, 1.36, 0.48, 0.69
002457, 8, 200, 9.40, 3.20, 5.20
001540, 8, 200, 3.18, 1.85, 1.00
002974, 12, 200, 15.94, 5.26, 8.63
000918, 8, 200, 2.69, 1.42, 0.92
000152, 8, 1000, 19.57, 13.32, 5.29
001385, 8, 200, 8.25, 2.28, 5.06
001886, 11, 200, 10.41, 3.38, 5.51
003022, 8, 200, 3.71, 2.18, 1.12
000768, 8, 200, 2.74, 1.38, 1.03
002542, 12, 200, 13.38, 4.33, 7.51
002095, 11, 200, 10.21, 3.36, 5.50
002583, 12, 200, 87.97, 16.68, 62.11
002748, 8, 200, 10.13, 3.71, 5.41
001765, 12, 200, 12.95, 3.89, 7.57
003499, 8, 200, 3.29, 1.93, 1.02
000831, 8, 200, 2.62, 1.39, 0.92
000653, 8, 200, 3.24, 1.86, 1.02
000970, 6, 200, 1.91, 1.38, 0.38
001666, 7, 300, 5.41, 2.01, 2.68
001389, 5, 200, 2.14, 0.70, 1.16
000669, 8, 200, 9.17, 3.03, 5.18
002800, 8, 200, 9.29, 3.13, 5.16
003056, 8, 0, 0, 0, 0
002013, 8, 200, 2.62, 1.38, 0.92
002199, 8, 0, 0, 0, 0
001598, 10, 200, 7.83, 3.40, 3.38
002046, 12, 200, 12.82, 3.67, 7.51
001723, 7, 300, 19.04, 5.47, 11.77
002685, 6, 200, 6.91, 1.81, 4.19
002582, 12, 200, 16.44, 5.21, 9.13
001562, 7, 200, 4.87, 1.48, 2.67
001714, 8, 200, 3.20, 1.64, 1.18
002894, 8, 200, 3.68, 2.16, 1.14
003274, 8, 200, 9.84, 3.26, 5.56
001226, 8, 200, 3.67, 2.34, 1.02
001451, 8, 200, 8.75, 2.30, 5.44
003218, 8, 200, 3.68, 2.15, 1.12
002154, 8, 200, 10.03, 3.21, 5.80
000567, 8, 200, 3.10, 1.56, 1.15
000508, 8, 200, 3.22, 1.86, 1.00
003253, 8, 200, 10.20, 3.19, 5.81
001176, 5, 200, 1.23, 0.43, 0.65
000860, 8, 200, 3.00, 1.68, 1.01
001997, 8, 200, 9.54, 3.09, 5.41
000259, 8, 200, 9.09, 3.21, 4.85
001469, 8, 200, 2.63, 1.39, 0.93
002001, 8, 200, 3.18, 1.96, 0.89
003020, 11, 200, 9.60, 3.49, 4.83
001705, 9, 200, 14.70, 2.84, 10.36
003580, 5, 200, 2.45, 1.64, 0.66
001527, 8, 200, 9.58, 2.74, 5.84
001811, 11, 200, 53.20, 8.13, 39.12
002698, 8, 200, 3.15, 1.57, 1.17
001068, 8, 200, 3.18, 1.82, 1.02
001457, 5, 200, 1.03, 0.74, 0.20
001478, 8, 200, 3.15, 1.60, 1.16
000397, 8, 900, 34.44, 7.48, 23.58
001110, 8, 200, 3.19, 1.82, 1.02
002604, 12, 200, 15.96, 5.11, 8.71
002734, 8, 200, 3.71, 2.17, 1.14
002934, 8, 200, 3.66, 2.15, 1.12
000216, 5, 200, 1.35, 0.47, 0.69
002852, 8, 200, 3.26, 1.92, 1.02
001903, 12, 200, 89.57, 15.71, 64.54
003421, 12, 200, 88.77, 16.27, 62.88
001236, 8, 200, 3.20, 1.84, 1.03
003498, 12, 200, 85.67, 12.40, 64.75
000893, 8, 200, 2.79, 1.41, 1.04
000148, 8, 1000, 19.36, 12.80, 5.62
002797, 8, 200, 3.19, 1.84, 1.02
003175, 11, 200, 57.03, 12.36, 37.37
001796, 8, 200, 2.76, 1.45, 1.02
003397, 12, 200, 92.16, 16.35, 63.03
001617, 8, 200, 2.62, 1.39, 0.92
002072, 11, 200, 57.48, 10.75, 39.84
001153, 8, 200, 2.94, 1.55, 1.07
001544, 8, 200, 3.28, 1.95, 1.01
000085, 5, 200, 2.08, 0.65, 1.17
001919, 11, 200, 55.99, 8.98, 41.41
002543, 8, 200, 3.17, 1.58, 1.16
000808, 8, 200, 2.82, 1.44, 1.03
001999, 8, 200, 3.74, 2.22, 1.12
001091, 8, 200, 3.28, 1.92, 1.05
001706, 7, 300, 5.38, 1.99, 2.74
002924, 10, 200, 6.59, 2.82, 2.87
002251, 12, 200, 13.43, 4.51, 7.41
002297, 8, 200, 3.24, 1.61, 1.15
002713, 8, 200, 9.69, 3.18, 5.38
002444, 8, 200, 3.11, 1.58, 1.16
003500, 8, 200, 3.71, 2.18, 1.13
001656, 7, 300, 4.52, 1.73, 2.30
000346, 8, 200, 3.14, 1.58, 1.16
002243, 8, 200, 3.77, 2.23, 1.15
000782, 8, 200, 9.01, 2.83, 5.18
000197, 8, 2000, 14.06, 12.78, 0.95
001178, 8, 200, 3.17, 1.80, 1.07
000952, 8, 200, 2.72, 1.37, 1.05
001069, 8, 200, 3.28, 1.92, 1.03
001850, 8, 200, 3.14, 1.59, 1.17
003566, 12, 200, 13.02, 4.40, 7.15
000712, 8, 200, 3.69, 2.16, 1.13
001072, 8, 200, 3.17, 1.82, 1.04
000975, 8, 200, 2.62, 1.38, 0.92
000046, 5, 200, 1.56, 0.99, 0.44
002749, 8, 200, 3.21, 1.84, 1.02
001502, 10, 200, 7.63, 3.33, 3.35
002541, 12, 200, 98.77, 20.52, 69.61
000689, 8, 200, 8.46, 2.49, 5.04
000630, 8, 200, 3.10, 1.89, 0.89
000784, 5, 200, 1.56, 0.71, 0.67
003437, 12, 200, 13.68, 4.41, 7.66
002307, 12, 200, 91.86, 16.14, 66.49
001893, 12, 200, 13.65, 4.51, 7.41
003264, 8, 200, 3.28, 1.91, 1.01
002161, 8, 200, 3.18, 1.91, 0.92
001106, 8, 200, 3.23, 1.87, 1.04
001245, 8, 200, 3.22, 1.83, 1.08
003270, 8, 200, 3.23, 1.88, 1.02
002331, 12, 200, 86.43, 14.53, 63.04
000600, 8, 200, 2.63, 1.39, 0.92
001232, 8, 200, 3.28, 1.92, 1.00
003381, 8, 200, 3.10, 1.56, 1.15
002999, 11, 200, 60.55, 11.35, 42.35
003392, 12, 200, 12.92, 3.74, 7.52
001190, 8, 200, 2.92, 1.58, 1.03
002560, 10, 200, 25.45, 5.31, 17.92
001797, 8, 200, 2.74, 1.50, 0.93
001784, 8, 200, 3.23, 1.87, 1.04
001918, 11, 200, 10.55, 3.28, 5.87
003243, 8, 200, 3.22, 1.86, 1.01
000645, 8, 200, 3.17, 1.90, 0.88
000990, 8, 200, 3.21, 1.85, 1.02
002510, 12, 200, 15.55, 5.11, 8.53
000481, 5, 200, 1.92, 0.56, 1.08
002839, 12, 200, 17.14, 5.27, 9.38
001287, 8, 200, 2.79, 1.43, 1.06
001591, 10, 200, 30.62, 5.45, 21.82
001477, 8, 200, 3.15, 1.93, 0.88
003003, 8, 200, 12.73, 3.49, 7.87
000722, 8, 200, 3.72, 2.20, 1.13
002021, 8, 200, 8.85, 2.37, 5.49
000502, 8, 200, 3.70, 2.16, 1.11
001460, 5, 200, 1.35, 1.05, 0.21
000655, 8, 200, 3.08, 1.86, 0.89
001528, 8, 200, 3.01, 1.67, 1.04
002972, 8, 200, 3.28, 1.92, 1.02
003146, 11, 200, 11.08, 3.59, 6.02
003493, 8, 200, 3.26, 1.89, 1.02
003487, 8, 200, 3.22, 1.88, 1.01
000035, 5, 200, 1.63, 0.83, 0.62
002708, 8, 200, 3.79, 2.25, 1.13
000943, 8, 200, 6.71, 1.64, 4.25
003496, 12, 200, 13.14, 3.79, 7.76
003462, 8, 200, 9.82, 3.71, 5.09
001297, 8, 200, 2.68, 1.35, 1.03
001030, 8, 200, 3.31, 1.95, 1.05
001994, 8, 200, 10.09, 3.16, 5.97
001987, 8, 200, 3.68, 2.17, 1.13
001051, 8, 200, 3.12, 1.78, 1.04
001548, 8, 200, 3.18, 1.80, 1.07
002546, 12, 200, 16.28, 5.23, 9.13
001048, 8, 200, 3.17, 1.84, 1.01
000780, 8, 200, 3.09, 1.87, 0.90
000473, 8, 200, 8.84, 2.62, 5.28
003412, 12, 200, 82.33, 13.11, 60.23
003231, 8, 200, 70.82, 6.72, 54.69
002434, 8, 200, 3.13, 1.91, 0.89
001098, 8, 200, 2.73, 1.38, 1.05
002494, 12, 200, 13.93, 4.52, 7.65
000888, 5, 200, 1.25, 0.45, 0.64
001118, 8, 200, 2.88, 1.48, 1.08
001057, 8, 200, 2.71, 1.34, 1.05
001564, 8, 200, 3.17, 1.83, 1.02
003280, 8, 200, 9.83, 3.27, 5.53
002437, 8, 200, 3.07, 1.86, 0.88
000656, 8, 200, 3.20, 1.87, 1.02
001538, 8, 200, 3.68, 2.15, 1.13
000842, 8, 200, 3.67, 2.17, 1.12
001303, 8, 200, 3.23, 1.87, 1.03
001225, 8, 0, 0, 0, 0
001307, 8, 200, 4.21, 2.92, 0.97
002059, 11, 200, 10.30, 3.36, 5.44
001476, 5, 200, 1.45, 1.15, 0.23
001409, 8, 200, 3.09, 1.88, 0.88
000973, 8, 200, 3.00, 1.63, 1.05
000703, 8, 200, 2.73, 1.37, 1.04
000923, 8, 200, 3.23, 1.87, 1.03
003521, 12, 200, 15.26, 4.33, 8.83
002867, 6, 200, 6.77, 1.75, 4.26
003147, 11, 200, 59.77, 9.23, 43.65
002463, 8, 200, 9.37, 3.27, 5.04
001977, 8, 200, 3.13, 1.91, 0.89
002552, 11, 200, 48.97, 7.70, 37.20
000637, 8, 200, 3.75, 2.22, 1.13
001346, 5, 200, 1.42, 0.61, 0.64
003513, 8, 200, 10.26, 3.05, 5.96
001744, 8, 200, 3.39, 2.04, 1.03
002383, 8, 200, 3.05, 1.84, 0.89
003036, 8, 200, 3.26, 1.89, 1.02
003091, 8, 200, 12.21, 3.17, 7.64
001095, 8, 200, 7.80, 2.29, 4.59
000988, 8, 200, 3.09, 1.88, 0.89
001114, 8, 200, 3.31, 1.91, 1.04
002571, 12, 200, 85.65, 14.43, 62.07
000605, 8, 200, 2.64, 1.41, 0.92
000894, 8, 200, 9.47, 3.28, 5.22
002363, 8, 200, 3.67, 2.15, 1.13
001483, 8, 200, 9.62, 3.18, 5.44
002524, 11, 200, 47.63, 8.89, 35.57
001028, 8, 200, 3.45, 2.13, 1.00
001317, 8, 200, 2.83, 1.44, 1.06
003503, 12, 200, 15.56, 4.41, 9.35
000261, 8, 200, 3.77, 2.19, 1.14
