3078, 1, 12,  489, 2, 2, 2450,  200,   1.50,   0.62,   8.59,   4.32,  32.75,  15.10, 0.349, 0.324
2646, 1, 12,  489, 2, 2, 2410,  200,   1.44,   0.62,   8.73,   5.11,  32.87,  15.98, 0.325, 0.325
3541, 1,  8,  225, 4, 2, 1130,  200,   0.24,   0.08,   1.03,   1.39,   1.51,   2.76, 0.014, 0.014
1361, 1,  8,  225, 8, 2, 1130,  200,   0.22,   0.08,   1.09,   1.36,   1.51,   2.76, 0.014, 0.014
3688, 1,  8,  225, 4, 2, 1090,  200,   0.26,   0.08,   1.02,   1.86,   1.39,   3.22, 0.013, 0.013
1516, 1, 10,  349, 8, 2, 1750,  200,   0.59,   0.21,   2.93,   2.19,   5.89,   5.94, 0.057, 0.058
   1, 1,  5,   97, 8, 1,  930,  200,   0.23,   0.07,   1.10,   1.34,   1.93,   2.76, 0.010, 0.009
1463, 1,  8,  225, 8, 3, 1130,  200,   0.43,   0.57,   5.80,   2.48,   1.94,   9.33, 0.032, 0.028
1575, 1,  8,  225, 8, 3, 1130,  200,   0.37,   0.57,   5.39,   2.42,   1.99,   8.78, 0.033, 0.029
3058, 1,  8,  225, 2, 2, 1090,  200,   0.31,   0.09,   1.13,   2.16,   1.56,   3.71, 0.014, 0.015
 576, 1,  8,  225, 8, 2, 1090,   50,   0.23,   0.08,   1.03,   0.58,   0.36,   1.93, 0.014, 0.013
1070, 1,  8,  225, 8, 2, 1130,  200,   0.23,   0.08,   1.05,   1.64,   1.58,   3.00, 0.014, 0.015
3066, 1,  8,  225, 2, 2, 1090,  200,   0.32,   0.09,   1.13,   2.18,   1.55,   3.72, 0.014, 0.015
1522, 1,  8,  225, 2, 2, 1090,  200,   0.25,   0.08,   1.13,   2.18,   1.58,   3.67, 0.015, 0.015
3300, 1,  8,  225, 2, 2, 2210,  200,   0.66,   0.28,   5.46,   1.96,   9.48,   8.40, 0.095, 0.093
2605, 1, 12,  489, 8, 3, 2410,  200,   2.13,   8.44,  65.68,  15.21,  52.03,  91.57, 0.911, 0.775
 202, 1,  8,  225, 4, 2, 1090, 2000,   0.23,   0.07,   0.95,  18.04,  12.82,  19.30, 0.012, 0.012
3467, 1,  8,  225, 2, 2, 1090,  200,   0.30,   0.09,   1.12,   2.12,   1.55,   3.64, 0.015, 0.015
 401, 1,  8,  225, 8, 3, 2250,  900,   0.83,   2.13,  23.16,   6.44,  63.22,  32.64, 0.231, 0.208
 846, 1,  8,  225, 2, 2, 1130,  200,   0.28,   0.09,   1.15,   1.61,   1.63,   3.17, 0.016, 0.015
3490, 1,  8,  225, 4, 2, 1090,  200,   0.25,   0.08,   1.02,   1.87,   1.38,   3.22, 0.013, 0.013
2480, 1,  8,  225, 2, 2, 1090,  200,   0.32,   0.09,   1.13,   2.15,   1.59,   3.70, 0.015, 0.015
1892, 1, 12,  489, 8, 2, 2410,  200,   1.19,   0.48,   7.87,   4.50,  21.99,  14.10, 0.230, 0.217
1870, 1, 12,  489, 2, 2, 2410,  200,   1.44,   0.66,   9.29,   5.47,  36.72,  16.92, 0.315, 0.364
1150, 1,  8,  225, 8, 2, 1130,  200,   0.20,   0.08,   1.05,   1.39,   1.55,   2.73, 0.015, 0.015
3219, 1,  8,  225, 8, 3, 1130,  200,   0.38,   0.73,   5.43,   2.58,   1.99,   9.17, 0.033, 0.029
1742, 1,  8,  225, 2, 2, 1090,  200,   0.30,   0.09,   1.14,   2.23,   1.60,   3.79, 0.015, 0.015
3079, 1,  8,  225, 8, 3, 1090,  200,   0.43,   0.66,   7.83,   3.42,   1.96,  12.39, 0.028, 0.028
